uniq_id,retail_price,discounted_price,discount_amount,product_rating,overall_rating,discount_percentage,main_category,product_name,description,clean_description,negotiation_dialogue,user_behavior,stock_status,recommended_products,feedback_score,feedback_text,helpful_votes,return_reason,recommend_to_others
78c73a39ced929d204418bcc80f3058d,475,333,142,4.0,4.0,29.89473684,Watches,kool kidz dmk003yl 03 analog watch   for girls boys,kool kidz dmk003yl 03 analog watch   for girls boys  buy kool kidz dmk003yl 03 analog watch   for girls boys  dmk003yl 03 online at rs333 in india only at flipkartcom multicolor strap round dial  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,kool kidz dmkyl analog watch for girls boys buy kool kidz dmkyl analog watch for girls boys dmkyl online at rs in india only at flipkartcom multicolor strap round dial great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: What if I buy two? Will you lower the price?
Bot: I can offer an additional 5% off if you leave a positive review.",added_to_cart,Low Stock,"maxima 19413ppsn fiber collection digital watch   for men, fastrack 9913pp03 tees analog watch   for women, sonata 7092sl01 yuva analog watch   for men",5.0,Highly recommend! (Watches),43,This product is purchased,Yes
1e612e880fe7119f93caf9a1c5ffb6b4,2499,1149,1350,3.5,3.5,54.02160864,Footwear,kielz ladies boots,kielz ladies boots  buy kielz ladies boots  1008b59 only for rs 1149 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,kielz ladies boots buy kielz ladies boots b only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: This seems expensive. Can you do something about it?
Bot: This is the lowest price available for this quality product.",viewed,Low Stock,"adidas isolation 2 basketball shoes, true soles boots, benera omn camouflage boots",4.538432631,Excellent quality and value! (Footwear),37,This product is purchased,Yes
c35ad9935596de3d0d0134a806396072,4999,1049,3950,5.0,5.0,79.01580316,Watches,colat colatm08 roman numerals analog watch   for men boys,colat colatm08 roman numerals analog watch   for men boys  buy colat colatm08 roman numerals analog watch   for men boys  colatm08 online at rs1049 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,colat colatm roman numerals analog watch for men boys buy colat colatm roman numerals analog watch for men boys colatm online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: I can offer an additional 5% off if you leave a positive review.",purchased,In Stock,"luba ty47 stylo analog watch   for men, fastrack 9912pp18 tees analog watch   for men women, sonata 8925yl02 analog watch   for women",3.800928155,"Average experience, nothing special. (Watches)",20,others,No
8782cc47269fa18d54998b55ed1124a9,2299,899,1400,3.5,3.5,60.89604176,Footwear,kielz ladies boots,kielz ladies boots  buy kielz ladies boots  100726 only for rs 899 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,kielz ladies boots buy kielz ladies boots only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: Is there any discount available?
Bot: I can offer an additional 5% off if you leave a positive review.",wishlist,Out of Stock,"knotty derby diggory boots, provogue loafers, ruby sober047 loafers",4.455537763,Highly recommend! (Footwear),25,This product is purchased,Yes
bbb8cdc5406ff60ff06ff64630f2ca47,799,200,599,5.0,5.0,74.96871089,Watches,srushti art jewelry megnetledsportblackred1 digital watch   for men women boys girls,srushti art jewelry megnetledsportblackred1 digital watch   for men women boys girls  buy srushti art jewelry megnetledsportblackred1 digital watch   for men women boys girls  megnetledsportblackred1 online at rs200 in india only at flipkartcom led watch sports led megnet watch fresh arrival latest fancy srushti girlswatch men women boys wrist watches  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,srushti art jewelry megnetledsportblackred digital watch for men women boys girls buy srushti art jewelry megnetledsportblackred digital watch for men women boys girls megnetledsportblackred online at rs in india only at flipkartcom led watch sports led megnet watch fresh arrival latest fancy srushti girlswatch men women boys wrist watches great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: This seems expensive. Can you do something about it?
Bot: For bulk purchases, I can give you a 10% discount.",wishlist,In Stock,"maxima 01727lpln mac gold analog watch   for women, sonata 8076yl01 analog watch   for women, maxima 20183cmgi attivo analog watch   for men",5.0,Very satisfied with this purchase. (Watches),15,This product is purchased,Yes
807302011d3d8f4d88860cff2cb16dee,585,526,59,3.6,3.6,10.08547009,Watches,qq vq13008 analog watch   for girls boys,qq vq13008 analog watch   for girls boys  buy qq vq13008 analog watch   for girls boys  vq13008 online at rs526 in india only at flipkartcom water resistant round dial buckle clasp blue strap  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,qq vq analog watch for girls boys buy qq vq analog watch for girls boys vq online at rs in india only at flipkartcom water resistant round dial buckle clasp blue strap great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can you give me a better price?
Bot: For bulk purchases, I can give you a 10% discount.",viewed,In Stock,"fastrack 9297pp01 sports analog watch   for men, fluid fu203gr01 analogdigital watch   for men, maxima 05711lmly gold analog watch   for women",3.51540466,"It works, but has some flaws. (Watches)",14,others,No
5479bb7028827d60000720a2c135976a,999,150,849,1.0,1.0,84.98498498,Watches,jack klein blackled digital watch   for boys,jack klein blackled digital watch   for boys  buy jack klein blackled digital watch   for boys  blackled online at rs150 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,jack klein blackled digital watch for boys buy jack klein blackled digital watch for boys blackled online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: This seems expensive. Can you do something about it?
Bot: We already offer the best price, but let me check if there's a promotion.",wishlist,In Stock,"maxima 25014lmgi attivo analog watch   for men, figo fashion ll1006blk analog watch   for women, perucci pc3333purple analog watch   for women",1.986758022,Terrible experience with this product. (Watches),18,Changed mind,No
733aa1e801a139fa8dc7be9f0eff5ee0,235,150,85,2.3,2.3,36.17021277,Watches,north moon iw005fk silicone ion digital watch   for boys girls women,north moon iw005fk silicone ion digital watch   for boys girls women  buy north moon iw005fk silicone ion digital watch   for boys girls women  iw005fk online at rs150 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,north moon iwfk silicone ion digital watch for boys girls women buy north moon iwfk silicone ion digital watch for boys girls women iwfk online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Is there any discount available?
Bot: This is the lowest price available for this quality product.",viewed,Low Stock,"sonata 8097ym01 analog watch   for women, maxima 05711lmly gold analog watch   for women, maxima 27280ppgw fiber analog watch   for men",4.038463976,Excellent quality and value! (Watches),40,This product is purchased,Yes
7ebca8e1830a1a7041f77c342b1282ee,2499,1249,1250,3.0,3.0,50.020008,Clothing,roadster skinny fit fit mens jeans,roadster skinny fit fit mens jeans  buy md indigo roadster skinny fit fit mens jeans for only rs 2499 online in india shop online for apparels huge collection of branded clothes only at flipkartcom,roadster skinny fit fit mens jeans buy md indigo roadster skinny fit fit mens jeans for only rs online in india shop online for apparels huge collection of branded clothes only at flipkartcom,"User: What if I buy two? Will you lower the price?
Bot: We already offer the best price, but let me check if there's a promotion.",viewed,Out of Stock,"bedazzle womens checkered casual shirt, vivity kfb24 womens plunge bra, flora solid womens kurti",4.139271705,Excellent quality and value! (Clothing),23,This product is purchased,Yes
a45c097adcf59401d1ac57ac632d8d71,645,645,0,5.0,5.0,0.0,Watches,qq lla2213 digital watch   for boys girls,qq lla2213 digital watch   for boys girls  buy qq lla2213 digital watch   for boys girls  lla2213 online at rs645 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,qq lla digital watch for boys girls buy qq lla digital watch for boys girls lla online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: We can offer free shipping if you proceed with the purchase now.",added_to_cart,Low Stock,"sonata 7089sl01 yuva analog watch   for men, timewel 1100n1508 analog watch   for women, sf by sonata 7963pp02 dean analog watch   for men",5.0,Very satisfied with this purchase. (Watches),29,This product is purchased,Yes
dfa536b435f093dc6ad6f1d5094eb726,3499,1695,1804,4.8,4.8,51.55758788,Footwear,belle gambe winter boots,belle gambe winter boots  buy belle gambe winter boots  2987 only for rs 1695 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,belle gambe winter boots buy belle gambe winter boots only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: For bulk purchases, I can give you a 10% discount.",purchased,In Stock,"kielz ladies boots, purple women heels, catwalk women heels",5.0,Very satisfied with this purchase. (Footwear),47,This product is purchased,Yes
ccfdfc13491abbf4225b1e31c83f7a9f,399,159,240,5.0,5.0,60.15037594,Watches,hala red in black trendy digital digital watch   for boys girls men,hala red in black trendy digital digital watch   for boys girls men  buy hala red in black trendy digital digital watch   for boys girls men  red in black trendy digital online at rs159 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,hala red in black trendy digital digital watch for boys girls men buy hala red in black trendy digital digital watch for boys girls men red in black trendy digital online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: This is the lowest price available for this quality product.",purchased,In Stock,"maxima 32841ppdn digital watch   for men, maxima 10310lmgi attivo analog watch   for men, felix 3541 ws metal analog watch   for boys girls",5.0,Highly recommend! (Watches),49,This product is purchased,Yes
70a5697b744f4d9c643fb961bbe2da6d,2295,2295,0,5.0,5.0,0.0,Footwear,carlton london boots,carlton london boots  buy carlton london boots  cll2881 only for rs 2295 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,carlton london boots buy carlton london boots cll only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: This is the lowest price available for this quality product.",added_to_cart,In Stock,"benera trekkesta boots, leather king blake black lace up, purple women heels",4.582836559,Excellent quality and value! (Footwear),31,This product is purchased,Yes
33d97d63c037078cd3f08033966d6a88,349,249,100,2.7,2.7,28.65329513,Watches,ridas aplledblack apple shape digital watch   for boys,ridas aplledblack apple shape digital watch   for boys  buy ridas aplledblack apple shape digital watch   for boys  aplledblack online at rs249 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,ridas aplledblack apple shape digital watch for boys buy ridas aplledblack apple shape digital watch for boys aplledblack online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: What if I buy two? Will you lower the price?
Bot: We can offer free shipping if you proceed with the purchase now.",added_to_cart,In Stock,"maxima 24742lmgy gold analog watch   for men, noise nosww026 round dial jelly analog watch   for men women, timewel 1100n1508 analog watch   for women",3.94930978,"It works, but has some flaws. (Watches)",25,others,No
e528bc66d53b8e1d8196da5b20f045ab,2099,2099,0,3.6,3.6,0.0,Footwear,la briza andria boots,la briza andria boots  buy la briza andria boots  3822 only for rs 2099 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,la briza andria boots buy la briza andria boots only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: What if I buy two? Will you lower the price?
Bot: I can offer an additional 5% off if you leave a positive review.",viewed,Low Stock,"true soles boots, rex monk strap, leather king oscar black lace up",4.743467861,Excellent quality and value! (Footwear),32,This product is purchased,Yes
92575fe20a9a1795c4e26c9299166122,2345,1179,1166,4.4,4.4,49.7228145,Watches,skmei 1070blk sports analogdigital watch   for men boys,skmei 1070blk sports analogdigital watch   for men boys  buy skmei 1070blk sports analogdigital watch   for men boys  1070blk online at rs1179 in india only at flipkartcom clear dial back light alarm dual time stop watch  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,skmei blk sports analogdigital watch for men boys buy skmei blk sports analogdigital watch for men boys blk online at rs in india only at flipkartcom clear dial back light alarm dual time stop watch great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: We can offer free shipping if you proceed with the purchase now.",added_to_cart,Low Stock,"fastrack 9297pp01 sports analog watch   for men, maxima 20020lmgi attivo analog watch   for men, sonata 8024sl10 yuva analog watch   for women",5.0,Very satisfied with this purchase. (Watches),37,This product is purchased,Yes
4131687c6dd5e3689c56e604e2992027,1350,555,795,5.0,5.0,58.88888889,Watches,felix 3541 ws metal analog watch   for boys girls,felix 3541 ws metal analog watch   for boys girls  buy felix 3541 ws metal analog watch   for boys girls  3541 ws metal online at rs555 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,felix ws metal analog watch for boys girls buy felix ws metal analog watch for boys girls ws metal online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Is there any discount available?
Bot: For bulk purchases, I can give you a 10% discount.",wishlist,Low Stock,"elantra s 10 analog watch   for boys men, stoln kidstime011 tweety analog watch   for girls boys, sonata 8015yl01 analog watch   for women",4.085427392,Very satisfied with this purchase. (Watches),26,This product is purchased,Yes
f1c0ff9c0a038fe4164bb013a80de8ad,1799,719,1080,4.0,4.0,60.03335186,Footwear,steppings trendy boots,"steppings trendy boots
                         price rs 719
				
			live it up with this pair of colouredboots by steppings experience endless comfort wearing this pair of bellieswhich is crafted using comfortable resin sole play with sheer fabric outfits while clubbing this pair of boots for the look of the day
live it up with this pair of colouredboots by steppings experience endless comfort wearing this pair of bellieswhich is crafted using comfortable resin sole play with sheer fabric outfits while clubbing this pair of boots for the look of the day",steppings trendy boots price rs live it up with this pair of colouredboots by steppings experience endless comfort wearing this pair of bellieswhich is crafted using comfortable resin sole play with sheer fabric outfits while clubbing this pair of boots for the look of the day live it up with this pair of colouredboots by steppings experience endless comfort wearing this pair of bellieswhich is crafted using comfortable resin sole play with sheer fabric outfits while clubbing this pair of boots for the look of the day,"User: Can you give me a better price?
Bot: This is the lowest price available for this quality product.",wishlist,In Stock,"kielz ladies boots, pueasy life monk strap, steppings trendy boots",4.527068346,Very satisfied with this purchase. (Footwear),26,This product is purchased,Yes
f5b56b74cab686a72d10d5fd212fb81e,1999,262,1737,5.0,5.0,86.89344672,Watches,jack klein goldjack analog watch   for boys men,jack klein goldjack analog watch   for boys men  buy jack klein goldjack analog watch   for boys men  goldjack online at rs262 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,jack klein goldjack analog watch for boys men buy jack klein goldjack analog watch for boys men goldjack online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: We already offer the best price, but let me check if there's a promotion.",added_to_cart,Low Stock,"global nomad gnlwbr0114 analog watch   for men, fastrack 9792pp02 basics analog watch   for women, titan 1641ym01 karishma analog watch   for men",5.0,Excellent quality and value! (Watches),24,This product is purchased,Yes
a16cc763817964b2c77e56ecd218a6e8,1820,1820,0,5.0,5.0,0.0,Footwear,dearfoams boots,"dearfoams boots
                         price rs 1820
				
			light and shaggy these boot slippers exude personality their structure is soft so you can fold down the tops to reveal contrasting lining the perfect choice for putting up your feet and watching a movie
light and shaggy these boot slippers exude personality their structure is soft so you can fold down the tops to reveal contrasting lining the perfect choice for putting up your feet and watching a movie",dearfoams boots price rs light and shaggy these boot slippers exude personality their structure is soft so you can fold down the tops to reveal contrasting lining the perfect choice for putting up your feet and watching a movie light and shaggy these boot slippers exude personality their structure is soft so you can fold down the tops to reveal contrasting lining the perfect choice for putting up your feet and watching a movie,"User: What if I buy two? Will you lower the price?
Bot: This is the lowest price available for this quality product.",wishlist,In Stock,"clarks shavi loop women flats, select sporty walking shoes, kielz women heels",5.0,Highly recommend! (Footwear),34,This product is purchased,Yes
3c74db45cbfc14a78b8466dca494b3bb,8995,7495,1500,5.0,5.0,16.67593107,Watches,alfajr wq18 qibla compass digital watch   for men boys girls,alfajr wq18 qibla compass digital watch   for men boys girls  buy alfajr wq18 qibla compass digital watch   for men boys girls  wq18 online at rs7495 in india only at flipkartcom qibla compass light azan time calculation  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,alfajr wq qibla compass digital watch for men boys girls buy alfajr wq qibla compass digital watch for men boys girls wq online at rs in india only at flipkartcom qibla compass light azan time calculation great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: What if I buy two? Will you lower the price?
Bot: For bulk purchases, I can give you a 10% discount.",viewed,Low Stock,"maxima 01727lpln mac gold analog watch   for women, 3wish curblue silver blue 8023 analog watch   for boys men, maxima 05711lmly gold analog watch   for women",5.0,Highly recommend! (Watches),22,This product is purchased,Yes
b0a058029072532046d05ac98ff1cae9,2999,995,2004,5.0,5.0,66.82227409,Watches,3wish curblue silver blue 8023 analog watch   for boys men,3wish curblue silver blue 8023 analog watch   for boys men  buy 3wish curblue silver blue 8023 analog watch   for boys men  curblue online at rs995 in india only at flipkartcom japanese brand stainless steel luxury looks  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,wish curblue silver blue analog watch for boys men buy wish curblue silver blue analog watch for boys men curblue online at rs in india only at flipkartcom japanese brand stainless steel luxury looks great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: I can offer an additional 5% off if you leave a positive review.",added_to_cart,In Stock,"nexus nx7690 analog watch   for women, sonata 8974pp01 analog watch   for women, fluid dmf002gr01 digital watch   for boys",4.932915811,Excellent quality and value! (Watches),32,This product is purchased,Yes
ecff61d66f90aebfbad9aca7932d60fe,3499,1795,1704,3.0,3.0,48.69962847,Footwear,belle gambe boots,belle gambe boots  buy belle gambe boots  7c1351 only for rs 1795 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,belle gambe boots buy belle gambe boots c only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: I can offer an additional 5% off if you leave a positive review.",added_to_cart,Low Stock,"urban woods black women heels, basics chukka casual shoes, kielz women heels",4.89031411,Highly recommend! (Footwear),30,This product is purchased,Yes
ee8d9ff65e0fe4278afce7c933d30941,2150,950,1200,4.5,4.5,55.81395349,Watches,elantra s 10 analog watch   for boys men,elantra s 10 analog watch   for boys men  buy elantra s 10 analog watch   for boys men  s 10 online at rs950 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,elantra s analog watch for boys men buy elantra s analog watch for boys men s online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: What if I buy two? Will you lower the price?
Bot: This is the lowest price available for this quality product.",viewed,Out of Stock,"maxima 07035lmli attivo analog watch   for women, nexus nx7557 analog watch   for women, flippd fdrbb2114 fibre analog watch   for men",5.0,Highly recommend! (Watches),16,This product is purchased,Yes
